module	entry	function	oracle_status	coverage_status	instruction_count	executed_instruction_count	conditional_branch_count	branch_edge_count	covered_branch_edge_count	missing_branch_edges
amer	0x002572	xdb_amer_render_face_buckets	natural_candidate_oracle_verified_codegen_mismatch	branch_incomplete	489	349	67	134	62	0x2659->0x265b,0x2659->0x2661,0x265f->0x2652,0x265f->0x2661,0x2695->0x2646,0x269f->0x2689,0x26b0->0x26b2,0x26bc->0x26ce,0x26cc->0x26c3,0x26f2->0x26eb,0x2738->0x273a,0x2738->0x2743,0x2741->0x2734,0x2741->0x2743,0x2754->0x274d,0x275b->0x271e,0x2774->0x27cb,0x2778->0x282d,0x277c->0x27f0,0x278f->0x2791,0x2794->0x278a,0x2794->0x2796,0x27d4->0x27d6,0x27d4->0x27f0,0x27fd->0x2801,0x27fd->0x29b9,0x2806->0x2808,0x2806->0x2819,0x280b->0x2801,0x280b->0x280d,0x2831->0x2835,0x2831->0x29b3,0x283b->0x283d,0x283b->0x2886,0x284f->0x2851,0x284f->0x285d,0x2859->0x284b,0x2859->0x285b,0x2875->0x2877,0x2875->0x2880,0x287e->0x284b,0x287e->0x2880,0x288c->0x288e,0x288c->0x289c,0x28c6->0x2a81,0x28ca->0x291d,0x28d5->0x2a81,0x28fc->0x291d,0x2917->0x2a81,0x291b->0x28fe,0x2929->0x295e,0x2932->0x2970,0x2964->0x291d,0x2966->0x28fe,0x299b->0x2989,0x299b->0x299d,0x29a8->0x291d,0x29a8->0x29ac,0x29ac->0x28fe,0x29ac->0x29b0,0x29d0->0x2a81,0x29d4->0x29f4,0x29ee->0x2a81,0x29f2->0x29d6,0x2a00->0x2a34,0x2a3a->0x29f4,0x2a3c->0x29d6,0x2a79->0x29f4,0x2a7d->0x29d6,0x2b04->0x2b06,0x2b47->0x2b4b,0x2b66->0x2b6a
croolis	0x0025d6	xdb_croolis_render_face_buckets	natural_candidate_oracle_verified_codegen_mismatch	branch_incomplete	495	349	67	134	62	0x26bd->0x26bf,0x26bd->0x26c5,0x26c3->0x26b6,0x26c3->0x26c5,0x26f9->0x26aa,0x2703->0x26ed,0x2714->0x2716,0x2720->0x2732,0x2730->0x2727,0x2756->0x274f,0x279c->0x279e,0x279c->0x27a7,0x27a5->0x2798,0x27a5->0x27a7,0x27b8->0x27b1,0x27bf->0x2782,0x27d8->0x282f,0x27dc->0x2891,0x27e0->0x2854,0x27f3->0x27f5,0x27f8->0x27ee,0x27f8->0x27fa,0x2838->0x283a,0x2838->0x2854,0x2861->0x2865,0x2861->0x2a29,0x286a->0x286c,0x286a->0x287d,0x286f->0x2865,0x286f->0x2871,0x2895->0x2899,0x2895->0x2a23,0x289f->0x28a1,0x289f->0x28ea,0x28b3->0x28b5,0x28b3->0x28c1,0x28bd->0x28af,0x28bd->0x28bf,0x28d9->0x28db,0x28d9->0x28e4,0x28e2->0x28af,0x28e2->0x28e4,0x28f0->0x28f2,0x28f0->0x2900,0x292a->0x2af1,0x292e->0x298d,0x2945->0x2af1,0x296c->0x298d,0x2987->0x2af1,0x298b->0x296e,0x2999->0x29ce,0x29a2->0x29e0,0x29d4->0x298d,0x29d6->0x296e,0x2a0b->0x29f9,0x2a0b->0x2a0d,0x2a18->0x298d,0x2a18->0x2a1c,0x2a1c->0x296e,0x2a1c->0x2a20,0x2a40->0x2af1,0x2a44->0x2a64,0x2a5e->0x2af1,0x2a62->0x2a46,0x2a70->0x2aa4,0x2aaa->0x2a64,0x2aac->0x2a46,0x2ae9->0x2a64,0x2aed->0x2a46,0x2b74->0x2b76,0x2bb7->0x2bbb,0x2bd6->0x2bda
scrut	0x002696	xdb_scrut_render_face_buckets	natural_candidate_oracle_verified_codegen_mismatch	branch_incomplete	495	349	67	134	62	0x277d->0x277f,0x277d->0x2785,0x2783->0x2776,0x2783->0x2785,0x27b9->0x276a,0x27c3->0x27ad,0x27d4->0x27d6,0x27e0->0x27f2,0x27f0->0x27e7,0x2816->0x280f,0x285c->0x285e,0x285c->0x2867,0x2865->0x2858,0x2865->0x2867,0x2878->0x2871,0x287f->0x2842,0x2898->0x28ef,0x289c->0x2951,0x28a0->0x2914,0x28b3->0x28b5,0x28b8->0x28ae,0x28b8->0x28ba,0x28f8->0x28fa,0x28f8->0x2914,0x2921->0x2925,0x2921->0x2ae9,0x292a->0x292c,0x292a->0x293d,0x292f->0x2925,0x292f->0x2931,0x2955->0x2959,0x2955->0x2ae3,0x295f->0x2961,0x295f->0x29aa,0x2973->0x2975,0x2973->0x2981,0x297d->0x296f,0x297d->0x297f,0x2999->0x299b,0x2999->0x29a4,0x29a2->0x296f,0x29a2->0x29a4,0x29b0->0x29b2,0x29b0->0x29c0,0x29ea->0x2bb1,0x29ee->0x2a4d,0x2a05->0x2bb1,0x2a2c->0x2a4d,0x2a47->0x2bb1,0x2a4b->0x2a2e,0x2a59->0x2a8e,0x2a62->0x2aa0,0x2a94->0x2a4d,0x2a96->0x2a2e,0x2acb->0x2ab9,0x2acb->0x2acd,0x2ad8->0x2a4d,0x2ad8->0x2adc,0x2adc->0x2a2e,0x2adc->0x2ae0,0x2b00->0x2bb1,0x2b04->0x2b24,0x2b1e->0x2bb1,0x2b22->0x2b06,0x2b30->0x2b64,0x2b6a->0x2b24,0x2b6c->0x2b06,0x2ba9->0x2b24,0x2bad->0x2b06,0x2c34->0x2c36,0x2c77->0x2c7b,0x2c96->0x2c9a
amer	0x002b6d	xdb_amer_face_activate	natural_candidate_oracle_verified_codegen_mismatch	branch_incomplete	424	401	20	40	30	0x2f77->0x2f7b,0x2f81->0x2f7e,0x30d6->0x30d8,0x3131->0x3133,0x3137->0x3139,0x3137->0x314b,0x3141->0x3139,0x3143->0x3145,0x3149->0x3139,0x3149->0x314b
croolis	0x002bdd	xdb_croolis_face_activate	natural_candidate_oracle_verified_codegen_mismatch	branch_incomplete	424	401	20	40	30	0x2fe7->0x2feb,0x2ff1->0x2fee,0x3146->0x3148,0x31a1->0x31a3,0x31a7->0x31a9,0x31a7->0x31bb,0x31b1->0x31a9,0x31b3->0x31b5,0x31b9->0x31a9,0x31b9->0x31bb
scrut	0x002c9d	xdb_scrut_face_activate	natural_candidate_oracle_verified_codegen_mismatch	branch_incomplete	424	401	20	40	30	0x30a7->0x30ab,0x30b1->0x30ae,0x3206->0x3208,0x3261->0x3263,0x3267->0x3269,0x3267->0x327b,0x3271->0x3269,0x3273->0x3275,0x3279->0x3269,0x3279->0x327b
croolis	0x000b78	xdb_croolis_slot1_wave_update	natural_candidate_oracle_verified_codegen_mismatch	complete	38	38	3	6	6	-
croolis	0x000c24	xdb_croolis_slot1_finish_update	natural_candidate_compiled_raw_control_flow_reviewed	no_direct_original_execution	7	0	0	0	0	-
croolis	0x000c3e	xdb_croolis_slot1_state_update	natural_candidate_compiled_raw_control_flow_reviewed	no_direct_original_execution	28	0	6	12	0	0x0c45->0x0c49,0x0c45->0x0d04,0x0c4f->0x0c53,0x0c4f->0x0d04,0x0c56->0x0c5a,0x0c56->0x0d04,0x0c60->0x0c64,0x0c60->0x0d04,0x0c67->0x0c6b,0x0c67->0x0d04,0x0c76->0x0c78,0x0c76->0x0cb5
croolis	0x000cb5	xdb_croolis_slot1_camera_update	natural_candidate_compiled_raw_control_flow_reviewed	no_direct_original_execution	12	0	0	0	0	-
